SupplierTitle,AmazonTitle,EAN,EAN_OnPage,ASIN,SupplierPrice_incVAT,SellingPrice_incVAT,NetProfit,ROI,bought_in_past_month,amazon_sales_badge,sales_value,tier,confidence_score,flags,reasons,ean_exact_match,SupplierURL,AmazonURL,fba_seller_count,Category,Bucket,Unit_Qty_Flag,Unit_Qty_Note,FinReport_NetProfit,Profit_Discrepancy
151 DUCT TAPE 10M,"151 Products TT1004 Tape, Grey",5050375001923,5050375001923,B003ZDI8E4,1.14,3.5,0.628333333,-112.8888889,100,100,100,TIER_1_VERIFIED,60,UNPROFITABLE,"Exact EAN match (checksum verified),Weak title match (sim=0.61, shared=2),Brand match: 151",TRUE,https://www.efghousewares.co.uk/151-tape-duct-tape-10m,https://www.amazon.co.uk/dp/B003ZDI8E4,,151 Tape Duct Tape 10M,C,MATCH,,,NO
APOLLO COFFEE PLUNGER 1.5L PP FRAME,French Press 12 Cup Coffee Plunger - 1500ml Capacity - Easy-Clean Filter - Heat Resistant Frame and Handle,5026180084178,5026180084178,B087ZKBSWC,10.212,15.5,0.628333333,-19.1317145,100,100,100,TIER_1_VERIFIED,60,"BRAND_MISMATCH,UNPROFITABLE","Exact EAN match (checksum verified),Moderate title match (sim=0.41, shared=3)",TRUE,https://www.efghousewares.co.uk/apollo-coffee-plunger-1-5l-pp-frame-114274,https://www.amazon.co.uk/dp/B087ZKBSWC,Available (see Keepa data),Apollo Coffee Plunger 1 5L Pp Frame 114274,C,MATCH,,,NO
ROLSON BRICK JOINTER FOUR SIZE,Rolson 52615 Four Size Brick Jointer,5029594526159,5029594526159,B004A96BE6,6.924,9.82,0.628333333,-29.06118143,100,100,100,TIER_1_VERIFIED,95,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.61, shared=5),Brand match: rolson",TRUE,https://www.efghousewares.co.uk/rolson-brick-jointer-four-size,https://www.amazon.co.uk/dp/B004A96BE6,Available (see Keepa data),Rolson Brick Jointer Four Size,C,MATCH,,,NO
PRICES PILLAR CANDLE IVORY 10X8CM,Price's Candles - Altar Candle - 100mm x 80mm - Unscented - Up To 50 Hour Burn Time - Smokeless & Dripless,5010414294716,5010414294716,B0001PW296,2.016,4,0.628333333,-85.94917788,100,100,100,TIER_1_VERIFIED,40,"BRAND_MISMATCH,UNPROFITABLE","Exact EAN match (checksum verified),Weak title match (sim=0.39, shared=1)",TRUE,https://www.efghousewares.co.uk/prices-pillar-candle-ivory-10x8cm-sp-,https://www.amazon.co.uk/dp/B0001PW296,,Prices Pillar Candle Ivory 10X8Cm Sp ,C,MATCH,,,NO
HG 4 IN 1 FOR LEATHER 250ML (SOLD EACH),"HG 4-in-1 Leather Cleaner, Premium Leather Cleaner and Conditioner to Restore & Nourish Leather Furniture & Accessories, Effective Leather Polish, Leather Treatment Protects Against Stains - 250ml",8711577010775,8711577010775,B000IU40JO,8.268,11.69,0.628333333,-25.78405018,100,100,100,TIER_1_VERIFIED,60,UNPROFITABLE,"Exact EAN match (checksum verified),Weak title match (sim=0.19, shared=2),Brand match: hg",TRUE,https://www.efghousewares.co.uk/hg-4-in-1-for-leather,https://www.amazon.co.uk/dp/B000IU40JO,,Hg 4 In 1 For Leather,C,MATCH,,,NO
JUST STATIONERY JOTTER BLOCK,"Just stationery 400 Sheet Jotter Block in,80mm x 80mm",5013922040042,5013922040042,B00AVW16KA,0.924,2.99,0.628333333,-146.0858586,100,100,100,TIER_1_VERIFIED,95,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.70, shared=4),Brand match: just",TRUE,https://www.efghousewares.co.uk/just-stationery-jotter-block,https://www.amazon.co.uk/dp/B00AVW16KA,,Just Stationery Jotter Block,C,MATCH,,,NO
MARKSMAN GAS TORCH HEAD MULTI PURPOSE,MARKSMAN Multi Purpose Gas Torch Head,5038673685120,5038673685120,B088VRZ7W8,5.04,7.75,0.628333333,-41.0877193,100,100,100,TIER_1_VERIFIED,95,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.62, shared=6),Brand match: marksman",TRUE,https://www.efghousewares.co.uk/marksman-gas-torch-head-multi-purpose-17-8,https://www.amazon.co.uk/dp/B088VRZ7W8,,Marksman Gas Torch Head Multi Purpose 17 8,C,MATCH,,,NO
RUSTINS HIGH HEAT BLACK PAINT 250ML,"RUSTINS HRBL250 High Heat Paint, Black, 250 ml",5015332320066,5015332320066,B003O947F8,9.528,13.1,0.628333333,-24.42088732,100,100,100,TIER_1_VERIFIED,95,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.73, shared=5),Brand match: rustins",TRUE,https://www.efghousewares.co.uk/rustins-high-heat-black-paint-250ml,https://www.amazon.co.uk/dp/B003O947F8,,Rustins High Heat Black Paint 250Ml,C,MATCH,,,NO
ROLSON DOUBLE PIN LEATHER BELT 50MM,Rolson 68585 50 mm Top Grain Double Pin Leather Belt,5029594685856,5029594685856,B000QF97I0,7.128,9.59,0.628333333,-32.46661531,100,100,100,TIER_1_VERIFIED,95,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.69, shared=5),Brand match: rolson",TRUE,https://www.efghousewares.co.uk/rolson-double-pin-leather-belt-50mm,https://www.amazon.co.uk/dp/B000QF97I0,Available (see Keepa data),Rolson Double Pin Leather Belt 50Mm,C,MATCH,,,NO
RUSTINS YACHT VARNISH SATIN 250ML,Rustins Yacht Varnish Satin 250ml,5015332690060,5015332690060,B001GU4AFE,5.448,8.3,0.628333333,-41.51931893,100,100,100,TIER_1_VERIFIED,95,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=1.00, shared=5),Brand match: rustins",TRUE,https://www.efghousewares.co.uk/rustins-yacht-varnish-satin-250ml,https://www.amazon.co.uk/dp/B001GU4AFE,,Rustins Yacht Varnish Satin 250Ml,C,MATCH,,,NO
RUSTINS TEXTURED STEP&TILE BLK 500ML,RUSTINS Textured Step & Tile Paint 500ml Black,5015332002696,5015332002696,B07BPD93BC,7.8,11.32,0.628333333,-30.16548463,100,100,100,TIER_1_VERIFIED,95,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.80, shared=5),Brand match: rustins",TRUE,https://www.efghousewares.co.uk/rustins-textured-step-tile-blk-500ml,https://www.amazon.co.uk/dp/B07BPD93BC,,Rustins Textured Step Tile Blk 500Ml,C,MATCH,,,NO
RUSTINS STABILISING SOLUTION 500ML,Rustins Quick Dry Stabilising Solution 500ml,5015332002139,5015332002139,B0742BQ3C4,6.708,10,0.628333333,-34.96199783,100,100,100,TIER_1_VERIFIED,95,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.87, shared=4),Brand match: rustins",TRUE,https://www.efghousewares.co.uk/rustins-stabilising-solution-500ml-121107,https://www.amazon.co.uk/dp/B0742BQ3C4,,Rustins Stabilising Solution 500Ml 121107,C,MATCH,,,NO
HG BATHROOM CLEANER SHINE RESTORER 500ML(SOLD EACH),"HG Bathroom Cleaner Shine Restorer, Bath Cleaner & Light Limescale Remover, Bathroom Floor Cleaner & Sink Cleaner, Bathtub Cleaner, Shower Spray Liquid & Toilet Cleaner - 500ml (Packing May Vary)",8711577002039,8711577002039,B001FTS3KE,4.908,7.82,0.628333333,-47.48563218,100,100,100,TIER_1_VERIFIED,80,UNPROFITABLE,"Exact EAN match (checksum verified),Moderate title match (sim=0.37, shared=5),Brand match: hg",TRUE,https://www.efghousewares.co.uk/hg-bath-shine,https://www.amazon.co.uk/dp/B001FTS3KE,,Hg Bath Shine,C,MATCH,,,NO
JUST STATIONERY RULER SHATTERPROOF 12INCH,Just Stationery 6072/72 12 inch plastic Shatterproof Ruler,5013922060729,,B00B0CP8TK,0.564,2.57,0.628333333,-216.503268,100,100,100,TIER_2_LIKELY,45,"AMAZON_EAN_MISSING,UNPROFITABLE","Supplier EAN present, Amazon EAN missing,Strong title match (sim=0.63, shared=4),Brand match: just",FALSE,https://www.efghousewares.co.uk/just-stationery-ruler-shatterproof-12inch,https://www.amazon.co.uk/dp/B00B0CP8TK,,Just Stationery Ruler Shatterproof 12Inch,C,MATCH,,,NO
BOSTIK TAPE DISCS 120S,Bostik Tape Discs Translucent - 120 Discs - Easy Way to Wrap Presents - Made of Paper - Eco-Friendly - Recyclable - UKCA and CE approved,5000403100227,5000403100227,B001SYZX0E,2.352,2.5,0.628333333,-88.31341301,100,100,100,TIER_1_VERIFIED,60,UNPROFITABLE,"Exact EAN match (checksum verified),Weak title match (sim=0.29, shared=3),Brand match: bostik",TRUE,https://www.efghousewares.co.uk/bostik-tape-discs-120s-117397,https://www.amazon.co.uk/dp/B001SYZX0E,Available (see Keepa data),Bostik Tape Discs 120S 117397,C,MATCH,,,NO
OVEN MATE GLASS & CERAMIC HOB CLEANE  EACH,Oven Mate Glass & Ceramic Hob Cleaner – Powerful Grease & Burnt-On Food Remover for Glass & Ceramic Hobs – Restores a Streak-Free Shine,5039295101043,5039295101043,B0775TPMLP,3.072,5,0.628333333,-72.13290461,100,100,100,TIER_1_VERIFIED,80,UNPROFITABLE,"Exact EAN match (checksum verified),Moderate title match (sim=0.49, shared=5),Brand match: oven",TRUE,https://www.efghousewares.co.uk/oven-mate-glass-ceramic-hob-cleane-each,https://www.amazon.co.uk/dp/B0775TPMLP,,Oven Mate Glass Ceramic Hob Cleane Each,C,MATCH,,,NO
ELLIOTT GLOVES EXTRA TOUGH MEDIUM,"Elliott Heavy Duty Household and Maintenance Rubber Gloves, Medium Size Gloves with breathable flock Lining and non-slip grip, One pair of Black Gloves",5013159302050,5013159302050,B007R2HB2Y,1.944,3.38,0.628333333,-105.6835637,100,100,100,TIER_1_VERIFIED,60,UNPROFITABLE,"Exact EAN match (checksum verified),Weak title match (sim=0.23, shared=3),Brand match: elliott",TRUE,https://www.efghousewares.co.uk/elliott-gloves-extra-tough-medium,https://www.amazon.co.uk/dp/B007R2HB2Y,,Elliott Gloves Extra Tough Medium,C,MATCH,,,NO
WHAM CASA SAGE SILVER LARGE DISH DRAINER,Wham Casa Large Dish Drainer (Silver Sage),5038135172816,5038135172816,B08SWNQBR5,2.76,6.62,0.628333333,-82.22222222,100,100,100,TIER_1_VERIFIED,95,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=0.70, shared=7),Brand match: wham",TRUE,https://www.efghousewares.co.uk/wham-casa-sage-silver-large-dish-drainer,https://www.amazon.co.uk/dp/B08SWNQBR5,,Wham Casa Sage Silver Large Dish Drainer,C,MATCH,,,NO
ELBOW GREASE DISH BRUSH REFILL PINK PACK OF 3,"Elbow Grease Dish Brush Refill Sponges | Non Scratch Easy Fit to Handle, Washing Up Sponge Refills, Kitchen & Dish Cleaning Scrub Scourer (Pink - 3 Pack)",5053249263564,5053249263564,B0CCLS5WC4,1.14,2.49,0.628333333,-160.3333333,100,100,100,TIER_1_VERIFIED,80,UNPROFITABLE,"Exact EAN match (checksum verified),Moderate title match (sim=0.42, shared=6),Brand match: elbow",TRUE,https://www.efghousewares.co.uk/elbow-grease-pink-dish-brush-refill-106267,https://www.amazon.co.uk/dp/B0CCLS5WC4,,Elbow Grease Pink Dish Brush Refill 106267,C,MATCH,,,NO
ACCTIM NARDO WALL CLOCK WHITE,Acctim 74662 Nardo 20cm Radio Controlled White Wall Clock,5012562746628,5012562746628,B07661X1FP,10.752,12.95,0.628333333,-25.32422012,100,100,100,TIER_1_VERIFIED,80,UNPROFITABLE,"Exact EAN match (checksum verified),Moderate title match (sim=0.53, shared=5),Brand match: acctim",TRUE,https://www.efghousewares.co.uk/acctim-nardo-wall-clock-white-106898,https://www.amazon.co.uk/dp/B07661X1FP,Available (see Keepa data),Acctim Nardo Wall Clock White 106898,C,MATCH,,,NO
HAMISH HIGHLAND COW LAPTRAY,Bug Art Laptray Hamish Highland Cow,5010792740713,5010792740713,B0D9QZ2YTQ,9.816,14.95,0.628333333,-27.96869034,100,100,100,TIER_1_VERIFIED,75,"BRAND_MISMATCH,UNPROFITABLE","Exact EAN match (checksum verified),Strong title match (sim=0.61, shared=4)",TRUE,https://www.efghousewares.co.uk/hamish-highland-cow-laptray-116477,https://www.amazon.co.uk/dp/B0D9QZ2YTQ,Available (see Keepa data),Hamish Highland Cow Laptray 116477,C,MATCH,,,NO
URBAN KICKS TRAINER ERASER 3PK,Trainer Eraser 3Pk,5053249256740,5053249256740,B0BKL965LF,1.14,1.99,0.628333333,-170.7777778,100,100,100,TIER_1_VERIFIED,60,"BRAND_MISMATCH,UNPROFITABLE","Exact EAN match (checksum verified),Moderate title match (sim=0.75, shared=3)",TRUE,https://www.efghousewares.co.uk/trainer-eraser-3pk-104095,https://www.amazon.co.uk/dp/B0BKL965LF,,Trainer Eraser 3Pk 104095,C,MATCH,,,NO
BG 45A SWITCH ON SINGLE PLATE BRUSHED CHROME,"BG Electrical NBS74-01 Switched Cooker Control Unit with a Power Indicator, 45 Amp, Brushed Steel",5050765019026,5050765019026,B004TRR0AI,6.72,8.49,0.628333333,-42.19512195,100,100,100,TIER_1_VERIFIED,60,UNPROFITABLE,"Exact EAN match (checksum verified),Weak title match (sim=0.42, shared=1),Brand match: bg",TRUE,https://www.efghousewares.co.uk/bg-45a-switch-on-single-plate-b-chrome,https://www.amazon.co.uk/dp/B004TRR0AI,,Bg 45A Switch On Single Plate B Chrome,C,MATCH,,,NO
GORILLA TAPE WHITE 27M,Gorilla Tape White 27m,5704947001667,5704947001667,B00IA19MZ0,9.948,12.59,0.628333333,-29.8453997,100,100,100,TIER_1_VERIFIED,95,UNPROFITABLE,"Exact EAN match (checksum verified),Strong title match (sim=1.00, shared=4),Brand match: gorilla",TRUE,https://www.efghousewares.co.uk/gorilla-white-tape-27m,https://www.amazon.co.uk/dp/B00IA19MZ0,,Gorilla White Tape 27M,C,MATCH,,,NO
STATUS 24H MINI TIMER,STATUS Timer Switch Mini | 24 Hour Segment Timer Light Switch | White UK Plug | S24HRMINIT6,5022822194267,5022822194267,B07N4LZ3TJ,3.492,4.95,0.628333333,-76.44508671,100,100,100,TIER_1_VERIFIED,60,UNPROFITABLE,"Exact EAN match (checksum verified),Weak title match (sim=0.35, shared=3),Brand match: status",TRUE,https://www.efghousewares.co.uk/status-24h-mini-timer-in-clam-shell,https://www.amazon.co.uk/dp/B07N4LZ3TJ,,Status 24H Mini Timer In Clam Shell,C,MATCH,,,NO
GINA GIRAFFE LAPTRAY,Lesser & Pavey Bug Art Gina Giraffe Laptray With Bean Bag for Serving Dishes | Lovely Lap Trays for Eating on Lap for Dinner or Breatfast | Newly Designed Food Trays for Lap,5010792740768,5010792740768,B0D9R31VBM,9.816,14.92,0.628333333,-30.88965254,100,100,100,TIER_1_VERIFIED,40,"BRAND_MISMATCH,UNPROFITABLE","Exact EAN match (checksum verified),Weak title match (sim=0.21, shared=3)",TRUE,https://www.efghousewares.co.uk/gina-giraffe-laptray-116479,https://www.amazon.co.uk/dp/B0D9R31VBM,Available (see Keepa data),Gina Giraffe Laptray 116479,C,MATCH,,,NO
WHAM CASA BLACK HIPSTER BASKET,Wham Casa Hipster Laundry Basket (Black),5038135223068,5038135223068,B0FC6Q9X3H,3.492,11.98,2.615833333,75.60211946,50,,50,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.71, shared=5),Brand match: wham",TRUE,https://www.efghousewares.co.uk/wham-casa-black-hipster-basket-120804,https://www.amazon.co.uk/dp/B0FC6Q9X3H,,Wham Casa Black Hipster Basket 120804,A,MATCH,,2.615833333,NO
RYSONS PLASTIC BOWLS W/STRAW 4PCE,"Plastic 4 Sippy Bowls Bowls with Built in Straw - Green, Blue, Orange & Purple",5056239416018,5056239416018,B0863MYSTY,1.14,7.05,0.628333333,75,50,,50,TIER_1_VERIFIED,60,BRAND_MISMATCH,"Exact EAN match (checksum verified),Moderate title match (sim=0.43, shared=3)",TRUE,https://www.efghousewares.co.uk/rysons-plastic-bowls-w-straw-4pce,https://www.amazon.co.uk/dp/B0863MYSTY,Available (see Keepa data),Rysons Plastic Bowls W Straw 4Pce,A,MATCH,,-0.1,YES
ADDIS CUTLERY DRAINER LINEN,Addis Linen Cutlery Drainer With Removable Compartment,5010303068145,5010303068145,B0009K4HGE,4.4352,11.17,0.628333333,26.19720521,50,50,50,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.62, shared=4),Brand match: addis",TRUE,https://www.efghousewares.co.uk/104593,https://www.amazon.co.uk/dp/B0009K4HGE,,Other,A,MATCH,,-0.737916667,YES
ELLIOTTS GLASS SPRAY BOTTLE BROWN480ML,"Elliott 480ml Brown Glass Spray Bottle, Manufactured from Recycled Glass and featuring a locking trigger action spray Mechanism, Ideal for use for Cleaning, Watering Plants and many other uses",5013159004428,5013159004428,B099X92QGG,1.812,7.18,0.628333333,31.71521036,50,50,50,TIER_1_VERIFIED,40,BRAND_MISMATCH,"Exact EAN match (checksum verified),Weak title match (sim=0.28, shared=3)",TRUE,https://www.efghousewares.co.uk/elliotts-glass-spray-bottle-brown480ml,https://www.amazon.co.uk/dp/B099X92QGG,Available (see Keepa data),Elliotts Glass Spray Bottle Brown480Ml,A,MATCH,,0.218333333,YES
ROYLE HOME SPRINGFORM CAKE TIN,"Royle Kids 2 Mini Springform Cake Tin Kids Round 5Inch Non Stick Springform Baking Tin 12cm,Black",5015302472535,5015302472535,B01APK7CDC,1.944,7.99,0.628333333,28.03379416,50,50,50,TIER_1_VERIFIED,80,,"Exact EAN match (checksum verified),Moderate title match (sim=0.43, shared=4),Brand match: royle",TRUE,https://www.efghousewares.co.uk/royle-home-springform-cake-tin-26-9,https://www.amazon.co.uk/dp/B01APK7CDC,,Royle Home Springform Cake Tin 26 9,A,MATCH,,0.192666667,YES
COOPER & PALS SQUEAKY CHIKEN,Cooper & Pals Squawking Chicken Toy For Dogs,5055566927495,5055566927495,B08ZL14VNR,0.852,6.11,0.628333333,39.02116402,50,50,50,TIER_1_VERIFIED,60,,"Exact EAN match (checksum verified),Weak title match (sim=0.71, shared=2),Brand match: cooper",TRUE,https://www.efghousewares.co.uk/cooper-pals-squeaky-chiken-110775,https://www.amazon.co.uk/dp/B08ZL14VNR,,Cooper Pals Squeaky Chiken 110775,A,MATCH,,-0.721666667,YES
SIMMER RING,Simmer Ring Pan Mat Heat Diffuser For Gas Electric Cookers Stove Hob 21cm,5056239413680,5056239413680,B0BQRTLJS2,1.14,4.95,0.628333333,10.33333333,50,50,50,TIER_1_VERIFIED,60,,"Exact EAN match (checksum verified),Weak title match (sim=0.26, shared=2),Brand match: simmer",TRUE,https://www.efghousewares.co.uk/simmer-ring-105738,https://www.amazon.co.uk/dp/B0BQRTLJS2,Available (see Keepa data),Simmer Ring 105738,A,MATCH,,-0.035,YES
SUPER DREAMER FITTED SHEET DOUBLE  BLACK,"GC GAVENO CAVAILIA Microfiber Fitted Sheet Double - Plain Bed Sheets - Deep Pocket 10 inch (25cm) - Shrinkage, Fade & Wrinkle Resistant Bottom Sheet, Black to Mattress (137x193 cm) - Machine Washable",5051346795940,5051346795940,B0BTMS65BX,3.456,8.99,0.628333333,2.96404276,50,50,50,TIER_1_VERIFIED,40,BRAND_MISMATCH,"Exact EAN match (checksum verified),Weak title match (sim=0.27, shared=4)",TRUE,https://www.efghousewares.co.uk/super-dreamer-fitted-sheet-double-black-123678,https://www.amazon.co.uk/dp/B0BTMS65BX,,Super Dreamer Fitted Sheet Double Black 123678,A,MATCH,,-1.401666667,YES
CHURCHILL ALGRAVE BLUE MINT COUPE BOWL 20CM,Algarve Blue Coupe Bowl 20cm - Pack of 6,5011109362901,5011109362901,B0F19F7T54,4.4352,66,0.628333333,50.45995671,,,0,TIER_1_VERIFIED,75,BRAND_MISMATCH,"Exact EAN match (checksum verified),Strong title match (sim=0.66, shared=4)",TRUE,https://www.efghousewares.co.uk/algrave-blue-mint-coupe-bowl-20cm-114854,https://www.amazon.co.uk/dp/B0F19F7T54,,Other,B,MISMATCH_ADJUST,Adjusted for Amazon qty 6 vs supplier qty 1; profit updated to 13.43.,,NO
CRAFT CONTAINER 6PC,RYSONS Craft Container 6 Pack,5056239404275,5056239404275,B09WJ9RYG9,1.008,19.99,0.628333333,745.293765,,,0,TIER_1_VERIFIED,40,BRAND_MISMATCH,"Exact EAN match (checksum verified),Weak title match (sim=0.79, shared=2)",TRUE,https://www.efghousewares.co.uk/craft-container-6pc,https://www.amazon.co.uk/dp/B09WJ9RYG9,,Craft Container 6Pc,B,MATCH,,,NO
RYSONS 4PC METAL FORKS 18CM,Fig & Olive Stainless Steel Forks 4 pcs,5056239411082,5056239411082,B0CGJR45QY,1.008,19.99,0.628333333,745.293765,,,0,TIER_1_VERIFIED,40,BRAND_MISMATCH,"Exact EAN match (checksum verified),Weak title match (sim=0.43, shared=1)",TRUE,https://www.efghousewares.co.uk/rysons-4pc-metal-forks-18cm-105444,https://www.amazon.co.uk/dp/B0CGJR45QY,,Rysons 4Pc Metal Forks 18Cm 105444,B,UNCLEAR,Supplier qty 4PC exceeds Amazon qty 1; manual review advised.,,NO
BIRTHDAY CANDLES 50PC,RYSONS Birthday Candles 50 PCS,5056239445100,5056239445100,B09X617B1M,1.008,19.99,0.628333333,745.293765,,,0,TIER_1_VERIFIED,40,BRAND_MISMATCH,"Exact EAN match (checksum verified),Weak title match (sim=0.82, shared=2)",TRUE,https://www.efghousewares.co.uk/birthday-candles-50pc-105756,https://www.amazon.co.uk/dp/B09X617B1M,,Birthday Candles 50Pc 105756,B,UNCLEAR,Supplier qty 50PC exceeds Amazon qty 1; manual review advised.,,NO
EMBROIDERY THREAD 12PK,Rysons Embroidery Thread 12 Pack,5056239435194,5056239435194,B0CJM9F5GD,1.008,19.99,0.628333333,745.293765,,,0,TIER_1_VERIFIED,40,BRAND_MISMATCH,"Exact EAN match (checksum verified),Weak title match (sim=0.81, shared=2)",TRUE,https://www.efghousewares.co.uk/embroidery-thread-12pk,https://www.amazon.co.uk/dp/B0CJM9F5GD,,Embroidery Thread 12Pk,B,MATCH,,,NO
FABRIC PLASTER STRIPS,Rysons 2 Fabric Plaster Strips,5056239406279,5056239406279,B0CJ9PYZZ9,1.008,19.9,0.628333333,740.7074341,,,0,TIER_1_VERIFIED,60,BRAND_MISMATCH,"Exact EAN match (checksum verified),Moderate title match (sim=0.82, shared=3)",TRUE,https://www.efghousewares.co.uk/fabric-plaster-strips,https://www.amazon.co.uk/dp/B0CJ9PYZZ9,,Fabric Plaster Strips,B,MATCH,,,NO
RUBBER SINK & BATH PLUG PK5,JIATING 5 Rubber Sink & Bath Plugs,5056239423993,5056239423993,B09X5ZYNCW,1.008,19.99,0.628333333,737.2901679,,,0,TIER_1_VERIFIED,60,BRAND_MISMATCH,"Exact EAN match (checksum verified),Moderate title match (sim=0.75, shared=3)",TRUE,https://www.efghousewares.co.uk/rubber-sink-bath-plug-pk5,https://www.amazon.co.uk/dp/B09X5ZYNCW,,Rubber Sink Bath Plug Pk5,B,MATCH,,,NO
RYSONS RING DESIGN CLOTHES PEGS 24PC,Rysons Clothes Pegs Ring Design 24 Pack,5056239426048,5056239426048,B0CGJYLPSM,1.2096,19.99,0.628333333,654.1452717,,,0,TIER_1_VERIFIED,80,,"Exact EAN match (checksum verified),Moderate title match (sim=0.59, shared=5),Brand match: rysons",TRUE,https://www.efghousewares.co.uk/rysons-weaved-cotton-clothesline-10m,https://www.amazon.co.uk/dp/B0CGJYLPSM,,Other,B,MATCH,,,NO
MAGNETIC MEMO HOLDER,Rysons Magnetic Memo Holder,5056239423788,5056239423788,B0CJ9J2167,1.476,18.99,0.628333333,520.2949438,,,0,TIER_1_VERIFIED,60,BRAND_MISMATCH,"Exact EAN match (checksum verified),Moderate title match (sim=0.85, shared=3)",TRUE,https://www.efghousewares.co.uk/magnetic-memo-holder,https://www.amazon.co.uk/dp/B0CJ9J2167,,Magnetic Memo Holder,B,MATCH,,,NO
FOAM PLAY GAME MATS,fun hub Foam Interlocking Play Game Mats includes 4 game mats In Zip Bag,5015934758649,5015934758649,B0BVJ7CX9P,5.376,26.52,0.628333333,149.1053678,,,0,TIER_1_VERIFIED,60,BRAND_MISMATCH,"Exact EAN match (checksum verified),Moderate title match (sim=0.42, shared=4)",TRUE,https://www.efghousewares.co.uk/foam-play-game-mats,https://www.amazon.co.uk/dp/B0BVJ7CX9P,,Foam Play Game Mats,B,MATCH,,,NO
BARBEQUE GRILL BRUSH 3 IN 1 STAINLESS STEEL,No Label - Barbecue Grill brush 3 in 1,8711295675065,8711295675065,B00KDU9XPU,1.2096,16.49,0.628333333,473.2777065,,,0,TIER_1_VERIFIED,40,BRAND_MISMATCH,"Exact EAN match (checksum verified),Weak title match (sim=0.65, shared=2)",TRUE,https://www.efghousewares.co.uk/barbeque-grill-brush-3-in-1-stainless-steel,https://www.amazon.co.uk/dp/B00KDU9XPU,,Other,B,MATCH,,,NO
JVL DOORMAT RUBBER TUFF RECTANGLE 45X75CM,Rub Tuffscrape Mat 45x75 cm,5017440021576,5017440021576,B003BPLW6W,8.136,22.99,0.628333333,89.28490223,,,0,TIER_1_VERIFIED,40,BRAND_MISMATCH,"Exact EAN match (checksum verified),Weak title match (sim=0.53, shared=0)",TRUE,https://www.efghousewares.co.uk/jvl-doormat-rubber-tuff-rectangle-45x75cm,https://www.amazon.co.uk/dp/B003BPLW6W,,Jvl Doormat Rubber Tuff Rectangle 45X75Cm,B,MATCH,,,NO
INTEX SILICONE SWIMMING CAP AGE 8+,"INTEX - Silicone Swimming Cap One Size, Multicolor (1)",6941057428505,6941057428505,B0DNMK9QCL,2.892,15.61,0.628333333,209.0653153,,,0,TIER_1_VERIFIED,95,,"Exact EAN match (checksum verified),Strong title match (sim=0.72, shared=4),Brand match: intex",TRUE,https://www.efghousewares.co.uk/intex-silicone-swimming-cap-age-8-,https://www.amazon.co.uk/dp/B0DNMK9QCL,,Intex Silicone Swimming Cap Age 8 ,B,MATCH,,,NO
BEST MUM BIRTHDAY WINE GLASS,Lesser & Pavey Camilla & Rose Best Mum Wine Glass,5010792496894,5010792496894,B0C2487LFK,0.936,13.99,0.628333333,463.8784461,,,0,TIER_1_VERIFIED,60,BRAND_MISMATCH,"Exact EAN match (checksum verified),Moderate title match (sim=0.51, shared=4)",TRUE,https://www.efghousewares.co.uk/best-mum-birthday-wine-glass-116470,https://www.amazon.co.uk/dp/B0C2487LFK,,Best Mum Birthday Wine Glass 116470,B,MATCH,,,NO
A-Z TRY ME MUSICAL CAR,"AtoZ My 1st Musical Car Keys Baby Toy with Light and Sound, 0+ Months, for Little Hands",5012866651048,5012866651048,B0F8R7P3HB,4.368,18.99,0.628333333,146.4200477,,,0,TIER_1_VERIFIED,40,BRAND_MISMATCH,"Exact EAN match (checksum verified),Weak title match (sim=0.32, shared=2)",TRUE,https://www.efghousewares.co.uk/a-z-try-me-musical-car-120237,https://www.amazon.co.uk/dp/B0F8R7P3HB,Available (see Keepa data),A Z Try Me Musical Car 120237,B,MATCH,,,NO
GRUNDIG GROUND SOLAR LIGHT 14CM,Grundig LED Solar Floor Light 120 mm Black,8711252123387,8711252123387,B085LHSKKR,3.072,15.38,0.628333333,187.3526259,,,0,TIER_1_VERIFIED,80,,"Exact EAN match (checksum verified),Moderate title match (sim=0.66, shared=3),Brand match: grundig",TRUE,https://www.efghousewares.co.uk/grundig-ground-solar-light-14cm,https://www.amazon.co.uk/dp/B085LHSKKR,,Grundig Ground Solar Light 14Cm,B,MATCH,,,NO
